seed,arm,event_type,subgraph,n_connections,n_tagged,tag_rate,h_tag_ratio,phi_tag_ratio,surprise_tag_ratio,novelty_tag_ratio,mean_h_tagged,mean_h_untagged,mean_phi_tagged,mean_phi_untagged,auc_novelty,auc_phi,auc_surprise,auc_pos,auc_neg,auc_inverted_h,auc_baseline_weight,auc_abs_dW,best_predictor,matched_phi_novelty_auc,matched_h_phi_auc,dW_l1_tagged,dW_l1_untagged,corr_abs_dW_tag_strength,subgraph_verdict
77,closed_loop,ALL,MR,3206,12,0.003743,0.524232,0.622804,1.036147,1.254725,0.055097,0.105101,0.218848,0.351392,0.658344,0.350005,0.559539,0.621034,0.44307,0.683156,0.715273,1.0,abs_dW,0.390496,0.483334,1.1e-05,0.0,1.0,raw_9C_geometry_root
77,closed_loop,ALL,RL,12250,234,0.019102,1.048757,0.891982,0.807182,1.074767,0.117748,0.112274,0.336713,0.377488,0.550118,0.454758,0.428824,0.392108,0.481661,0.485917,0.515077,1.0,abs_dW,0.540761,0.472632,0.000601,0.0,1.0,raw_9C_geometry_root
77,closed_loop,ALL,RM,2968,27,0.009097,0.800549,0.682843,1.269249,1.232147,0.087641,0.109476,0.250032,0.366164,0.626897,0.375156,0.62628,0.510837,0.513317,0.569245,0.596333,1.0,abs_dW,0.484941,0.517208,1.9e-05,0.0,1.0,raw_9C_geometry_root
77,closed_loop,ALL,RR,12782,84,0.006572,0.75999,0.854869,0.966038,1.075925,0.092094,0.121178,0.348513,0.40768,0.54036,0.431003,0.510769,0.552762,0.554234,0.588021,0.438661,1.0,abs_dW,0.498192,0.38086,0.000216,0.0,1.0,raw_9C_geometry_root
77,closed_loop,L,ALL,40365,325,0.008052,0.951076,0.920166,0.897265,1.045316,0.118244,0.124327,0.334331,0.363338,0.534001,0.46355,0.470515,0.475314,0.50707,0.523237,0.543457,1.0,abs_dW,0.502296,0.462734,0.0009,0.0,1.0,raw_9C_geometry_root
77,closed_loop,L,LL,8028,64,0.007972,1.171557,1.098776,0.895933,0.941578,0.132969,0.113498,0.361187,0.328718,0.488717,0.506973,0.480594,0.435599,0.520398,0.448018,0.616881,1.0,abs_dW,0.522366,0.481417,0.00028,0.0,1.0,raw_9C_geometry_root
77,closed_loop,L,LM,1881,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,L,LR,8046,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,L,ML,1818,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,L,MM,531,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,L,MR,2061,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,L,RL,7875,234,0.029714,0.912443,0.890818,0.856983,1.066931,0.117748,0.129047,0.336713,0.377981,0.544397,0.454312,0.448252,0.477766,0.499649,0.540766,0.522786,1.0,abs_dW,0.525339,0.45639,0.000601,0.0,1.0,raw_9C_geometry_root
77,closed_loop,L,RM,1908,27,0.014151,0.697612,0.677707,1.355792,1.223819,0.087641,0.12563,0.250032,0.368939,0.623742,0.371749,0.646543,0.542324,0.513045,0.618229,0.603225,1.0,abs_dW,0.447787,0.510193,1.9e-05,0.0,1.0,raw_9C_geometry_root
77,closed_loop,L,RR,8217,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,R,ALL,22425,168,0.007492,1.15201,0.971772,0.917303,0.99893,0.092195,0.08003,0.350484,0.360664,0.495274,0.49238,0.495367,0.443375,0.533377,0.416407,0.500001,1.0,abs_dW,0.506446,0.478082,0.0004,0.0,1.0,raw_9C_geometry_root
77,closed_loop,R,LL,4460,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,R,LM,1045,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,R,LR,4470,72,0.016107,1.263155,1.060661,0.883948,0.931439,0.098495,0.077976,0.374722,0.353291,0.449728,0.532897,0.484093,0.399456,0.54767,0.375464,0.552183,1.0,abs_dW,0.474534,0.520046,0.000173,0.0,1.0,raw_9C_geometry_root
77,closed_loop,R,ML,1010,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,R,MM,295,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,R,MR,1145,12,0.01048,0.708082,0.622803,0.938373,1.27406,0.055097,0.077812,0.218848,0.351392,0.671595,0.347529,0.525522,0.702339,0.445646,0.610032,0.708002,1.0,abs_dW,0.409192,0.517213,1.1e-05,0.0,1.0,raw_9C_geometry_root
77,closed_loop,R,RL,4375,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,R,RM,1060,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
