seed,gap,mode,arm,total_events,event_count_L,event_count_R,final_weight_l1,pair_interval,num_pairs_target,completed_pairs,first_L_step,first_R_step,last_L_step,last_R_step,L_to_R_signed_mean,R_to_L_signed_mean,L_to_R_l1,R_to_L_l1,crossing_per_unit_mean,crossing_per_unit_median,crossing_per_unit_min,crossing_per_unit_max,frac_steps_with_crossing,mean_inter_crossing_interval,crossing_balance_lr,crossing_q4_q1_ratio
999,1500,activity,L_then_R,10,5,5,0.11828666101269246,2080,5,5,200,1700,8520,10020,-0.0018524145692980117,0.00016197741845375323,0.12078147389816382,0.11559942414124864,,,,,,,,
999,1500,activity,R_then_L,10,5,5,0.11827809913898862,2080,5,5,1700,200,10020,8520,-0.0018276372895574015,0.00018394570417470368,0.12078803837302511,0.1155781325192962,,,,,,,,
999,1500,activity,simultaneous,10,5,5,0.1182839151537445,2080,5,5,200,200,8520,8520,-0.0018397553532964624,0.00015904330082762346,0.12079418808080886,0.1155849766756314,,,,,,,,
999,1500,activity,separated_control,10,5,5,0.1182795726408056,2080,5,5,200,1240,8520,9560,-0.0018529565722761178,0.0001584355284375698,0.12077987945988547,0.11560810699935987,,,,,,,,
999,1500,onset,L_then_R,10,5,5,0.11828301690734186,2080,5,5,200,1700,8520,10020,-0.0019765969127349156,3.704465901960288e-05,0.12079136839356906,0.1155865593514716,,,,,,,,
999,1500,onset,R_then_L,10,5,5,0.11828209433075615,2080,5,5,1700,200,10020,8520,-0.001976380397435689,3.555265109511814e-05,0.12079210243366205,0.11558860899799288,,,,,,,,
999,1500,onset,simultaneous,10,5,5,0.11828313277520498,2080,5,5,200,200,8520,8520,-0.001976251679404148,3.741065817430806e-05,0.12079270268975703,0.11558720119795775,,,,,,,,
999,1500,onset,separated_control,10,5,5,0.1182823279140066,2080,5,5,200,1240,8520,9560,-0.001979311817915761,3.6726127841820904e-05,0.12079350547626912,0.11558636288032197,,,,,,,,
999,1500,threshold_crossing,L_then_R,10,5,5,0.11826344846286439,2080,5,5,200,1700,8520,10020,-0.0019708357234060887,3.918254342454525e-05,0.1207746223776699,0.11556641236825493,8.89,5.0,0,37,0.21101851851851852,1214.8481439820023,0.1566265060240964,0.8608458390177354
999,1500,threshold_crossing,R_then_L,10,5,5,0.1182634392236583,2080,5,5,1700,200,10020,8520,-0.001972370478117396,4.178846184965206e-05,0.12077370293445625,0.11556910192217712,8.55,5.0,0,32,0.20277777777777778,1263.157894736842,0.14389799635701275,0.8472222222222222
999,1500,threshold_crossing,simultaneous,10,5,5,0.11826187728676615,2080,5,5,200,200,8520,8520,-0.001972532414036955,4.1703321833490146e-05,0.12076974245048891,0.1155671882068545,9.226666666666667,5.0,0,40,0.21796296296296297,1170.5202312138729,0.18185636287274254,0.9312668463611861
999,1500,threshold_crossing,separated_control,10,5,5,0.11826389159679727,2080,5,5,200,1240,8520,9560,-0.0019718005038703015,3.962393028489439e-05,0.12077387988419845,0.11556883712340832,8.783333333333333,4.0,0,43,0.20824074074074075,1229.6015180265654,0.14921465968586387,0.8804945054945055
