seed,arm,event_type,subgraph,n_connections,dW_support_rate,tag_support_rate,phi_proxy_positive_rate,phi_proxy_dW_match_rate,phi_proxy_false_positive_rate,phi_proxy_false_negative_rate,tag_dW_match_rate,dW_l1,tag_delta_l1,mean_phi_dW_supported,mean_phi_dW_unsupported,mean_h_dW_supported,mean_h_dW_unsupported,h_support_ratio,phi_support_ratio,corr_h_dW_support,corr_phi_dW_support,support_geometry_verdict
42,exact_replay,R,LL,5904,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.370307,nan,0.141758,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,R,LM,912,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.351218,nan,0.137308,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,R,LR,5676,0.013742,0.013742,1.0,0.013742,0.986258,0.0,1.0,0.000283,0.000283,0.376281,0.374939,0.150021,0.143815,1.043158,1.00358,0.007091,0.000604,proxy_phi_support_insufficient
42,exact_replay,R,ML,1050,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.373306,nan,0.145383,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,R,MM,114,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.320155,nan,0.125539,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,R,MR,1032,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.340183,nan,0.132372,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,R,RL,5628,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.367092,nan,0.141023,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,R,RM,828,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.370087,nan,0.143491,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,R,RR,5766,0.013874,0.013874,1.0,0.013874,0.986126,0.0,1.0,0.000317,0.000317,0.248895,0.335402,0.103506,0.128189,0.80745,0.742079,-0.030824,-0.041876,proxy_phi_support_insufficient
77,closed_loop,ALL,ALL,62790,0.007852,0.007852,1.0,0.007852,0.992148,0.0,1.0,0.0013,0.0013,0.339835,0.362383,0.109367,0.108501,1.007989,0.93778,0.000984,-0.008095,proxy_phi_support_insufficient
77,closed_loop,ALL,LL,12488,0.005125,0.005125,1.0,0.005125,0.994875,0.0,1.0,0.00028,0.00028,0.361187,0.326923,0.132969,0.099009,1.343001,1.104809,0.032701,0.0103,proxy_phi_support_insufficient
77,closed_loop,ALL,LM,2926,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.329637,nan,0.099247,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,ALL,LR,12516,0.005753,0.005753,1.0,0.005753,0.994247,0.0,1.0,0.000173,0.000173,0.374722,0.354056,0.098495,0.106058,0.928692,1.05837,-0.007485,0.006385,proxy_phi_support_insufficient
77,closed_loop,ALL,ML,2828,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.346035,nan,0.104598,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,ALL,MM,826,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.306103,nan,0.094095,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,ALL,MR,3206,0.003743,0.003743,1.0,0.003743,0.996257,0.0,1.0,1.1e-05,1.1e-05,0.218848,0.351392,0.055097,0.105101,0.524232,0.622804,-0.038484,-0.032445,proxy_phi_support_insufficient
77,closed_loop,ALL,RL,12250,0.019102,0.019102,1.0,0.019102,0.980898,0.0,1.0,0.000601,0.000601,0.336713,0.377488,0.117748,0.112274,1.048757,0.891982,0.009659,-0.02302,proxy_phi_support_insufficient
77,closed_loop,ALL,RM,2968,0.009097,0.009097,1.0,0.009097,0.990903,0.0,1.0,1.9e-05,1.9e-05,0.250032,0.366164,0.087641,0.109476,0.800549,0.682843,-0.026131,-0.044537,proxy_phi_support_insufficient
77,closed_loop,ALL,RR,12782,0.006572,0.006572,1.0,0.006572,0.993428,0.0,1.0,0.000216,0.000216,0.348513,0.40768,0.092094,0.121178,0.75999,0.854869,-0.029889,-0.019503,proxy_phi_support_insufficient
77,closed_loop,L,ALL,40365,0.008052,0.008052,1.0,0.008052,0.991948,0.0,1.0,0.0009,0.0009,0.334331,0.363338,0.118244,0.124327,0.951076,0.920166,-0.006492,-0.010529,proxy_phi_support_insufficient
77,closed_loop,L,LL,8028,0.007972,0.007972,1.0,0.007972,0.992028,0.0,1.0,0.00028,0.00028,0.361187,0.328718,0.132969,0.113498,1.171557,1.098776,0.021566,0.012081,proxy_phi_support_insufficient
77,closed_loop,L,LM,1881,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.3313,nan,0.113728,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,L,LR,8046,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.354474,nan,0.121408,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,L,ML,1818,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.34791,nan,0.119918,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,L,MM,531,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.311328,nan,0.107674,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,L,MR,2061,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.351391,nan,0.120102,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,L,RL,7875,0.029714,0.029714,1.0,0.029714,0.970286,0.0,1.0,0.000601,0.000601,0.336713,0.377981,0.117748,0.129047,0.912443,0.890818,-0.02304,-0.028896,proxy_phi_support_insufficient
